TextName,Length,SWD whole text,Window SWD,Genre,Author Name,Author Gender,Title,Date,title,Decade,Time Periode,words,sound words,sound word density (old),AnnotationType,File Name Plain Text,File Name automatically suspense annotated,File Name XML not annotated,File Name automatically sound annotated,File Name manually sound annotated or corrected dic-annotated
731James1908_pre,13707,2.772.306,3.206.445.916,Gothic,"James, Henry",Male,The Jolly Corner,1908,The Jolly Corner,1900-1909,1850-1915,14433,38,0.26,automated,731James1908.txt,731James1908_autotagged.txt,731James1908.xml,731James1908_pre.xml,-
801Kipling1888_pre,14365,3.271.841,4.322.367.801,Other,"Kipling, Rudyard",Male,The Man who would be King,1888,The Man who would be King,1880-89,1850-1915,14464,47,0.32,automated,801Kipling1888.txt,801Kipling1888_autotagged.txt,801Kipling1888.xml,801Kipling1888_pre.xml,-
802Kipling1890_for_dic22.01,5050,7.326.733,7.780.439.615,Gothic,"Kipling, Rudyard",Male,The Mark of the Beast,1890,The Mark of the Beast,1890-99,1850-1915,5109,37,0.72,dictionary_based,802Kipling1890.txt,802Kipling1890_autotagged.txt,802Kipling1890.xml,-,802Kipling1890_for_dic22.01.xml
742James1904_pre,4429,225.785,1,Gothic,"James, Montague Rhodes",Male,The Mezzotint,1904,The Mezzotint,1900-1909,1850-1915,4682,0,0.0,automated,742James1904.txt,742James1904_autotagged.txt,742James1904.xml,742James1904_pre.xml,742James1904_20.01.xml
271Collins1868_pre,192430,1.766.876,2.428.876.589,Gothic,"Collins, Wilkie",Male,The Moonstone,1868,The Moonstone,1860-69,1850-1915,197644,342,0.17,automated,271Collins1868.txt,271Collins1868_autotagged.txt,271Collins1868.xml,271Collins1868_pre.xml,-
Gaskell_20.01.,9805,6.7,-,Gothic,"Gaskell, Elizabeth Cleghorn",Female,The Old Nurse's Story,1852,The Old Nurse's Story,1850-59,1850-1915,9805,66,0.67,manual,481Gaskell1852.txt,481Gaskell1852_autotagged_double.txt,481Gaskell1852.xml,-,Gaskell_20.01.xml
1011Oliphant1881_for_dic22.01,18732,8.594.918,9.863.653.069,Other,"Oliphant, Margaret",Female,The Open Door,1881,The Open Door,1880-89,1850-1915,18763,161,0.86,dictionary_based,1011Oliphant1881.txt,1011Oliphant1881_autotagged.txt,1011Oliphant1881.xml,-,1011Oliphant1881_for_dic22.01.xml
1401Wilde1891_for_dic22.01,80803,3.564.224,4.382.110.515,Gothic,"Wilde, Oscar",Male,The Picture of Dorian Gray,1891,The Picture of Dorian Gray,1890-99,1850-1915,80396,288,0.36,dictionary_based,1401Wilde1891.txt,1401Wilde1891_autotagged.txt,1401Wilde1891.xml,-,1401Wilde1891_for_dic22.01.xml
311Corelli1895_pre,152885,5.468.162,5.792.459.777,Gothic,"Corelli, Marie",Female,The Sorrows of Satan,1895,The Sorrows of Satan,1890-99,1850-1915,164132,839,0.51,automated,311Corelli1895.txt,311Corelli1895_autotagged.txt,311Corelli1895.xml,311Corelli1895_pre.xml,-
732James1898_pre,39806,3.316.083,3.609.366.011,Gothic,"James, Henry",Male,The Turn of the Screw,1898,The Turn of the Screw,1890-99,1850-1915,42831,132,0.31,automated,732James1898.txt,732James1898_autotagged_double.txt,732James1898.xml,732James1898_pre.xml,-
1092Polidori1819_24_01_pre,13311,3.230.411,4.954.716.096,Gothic,"Polidori, John William",Male,The Vampyre,1819,The Vampyre,1810-19,1790-1849,12739,43,0.34,automated,1092Polidori1819.txt,1092Polidori1819_autotagged.txt,1092Polidori1819.xml,1092Polidori1819_24_01_pre.xml,-
